#subID	 subGroupNr x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG M_star
#subID	 groupID	 kpc	 kpc	 kpc	 km/s	 km/s	 km/s	 km/s	 mags mags 10^10Msun
409154 1237 66883.437500 60006.226562 6526.882324 114.477776 -18.008135 3.224409 219.776016 -2.168811e+01 -2.209380e+01 4.277658
409155 1237 66904.390625 59897.546875 6297.987793 54.838440 32.619167 133.718857 59.732224 -1.595343e+01 -1.636746e+01 0.019881
409156 1237 67011.015625 60046.175781 6709.611328 108.897621 -21.393745 91.440239 49.276737 -1.482438e+01 -1.542652e+01 0.009341
409157 1237 67012.593750 59830.554688 6140.212402 32.566505 29.685032 82.539436 28.370996 1.000000e+37 1.000000e+37 0.000000
409158 1237 66808.171875 60014.902344 6440.017090 237.883713 24.405399 16.409079 33.571548 -1.381517e+01 -1.451203e+01 0.006589
409159 1237 66852.351562 59994.125000 6600.829590 67.704094 59.945759 6.885807 22.997524 -1.435644e+01 -1.498600e+01 0.007104
409160 1237 67063.960938 60067.421875 6462.811523 35.401585 -0.485304 28.259975 28.833994 -1.115663e+01 -1.180694e+01 0.000657
409161 1237 66930.281250 60067.070312 6503.879883 3.673729 -127.628822 145.084351 25.793188 -1.145773e+01 -1.203620e+01 0.000555
409162 1237 66826.351562 60137.949219 6528.212891 105.382256 -136.744232 -92.106430 23.828163 -8.603957e+00 -9.175794e+00 0.000067
409163 1237 66881.515625 60164.628906 6628.474609 194.880371 114.088303 -1.561226 19.436186 1.000000e+37 1.000000e+37 0.000000
409164 1237 66846.632812 59947.390625 6542.007812 358.143585 144.030167 -65.284721 20.685209 1.000000e+37 1.000000e+37 0.000000
409165 1237 66900.867188 59961.250000 6406.251953 10.742987 179.326187 33.714230 16.657827 1.000000e+37 1.000000e+37 0.000000
409166 1237 66788.617188 59872.738281 6735.228027 29.116587 -74.455582 -114.604317 17.483515 1.000000e+37 1.000000e+37 0.000000
409167 1237 66773.398438 60027.898438 6670.623535 80.538033 152.758530 -20.529032 17.508434 1.000000e+37 1.000000e+37 0.000000
409168 1237 66709.304688 59862.667969 6560.592285 177.125305 24.116856 64.358788 16.324827 1.000000e+37 1.000000e+37 0.000000
